time,grx,gry,grz,lax,lay,laz
281,0.831237,0.0909798,10.061,0.221459,0.0617867,0.192508
282,0.831237,0.0909798,9.98921,0.221459,0.0617867,0.192508
283,0.831237,0.0909798,9.98921,0.164204,0.0617867,0.192508
284,0.831237,0.0909798,9.98921,0.164204,0.0445778,0.192508
285,0.831237,0.0909798,9.98921,0.164204,0.0445778,0.116107
286,0.601244,0.0909798,9.98921,0.164204,0.0445778,0.116107
287,0.601244,0.0933746,9.98921,0.164204,0.0445778,0.116107
288,0.601244,0.0933746,9.83104,0.164204,0.0445778,0.116107
289,0.601244,0.0933746,9.83104,-0.0579956,0.0445778,0.116107
290,0.601244,0.0933746,9.83104,-0.0579956,0.0407928,0.116107
291,0.601244,0.0933746,9.83104,-0.0579956,0.0407928,-0.0409462
292,0.70195,0.0933746,9.83104,-0.0579956,0.0407928,-0.0409462
293,0.70195,0.0430954,9.83104,-0.0579956,0.0407928,-0.0409462
294,0.70195,0.0430954,9.73288,-0.0579956,0.0407928,-0.0409462
295,0.70195,0.0430954,9.73288,0.0377922,0.0407928,-0.0409462
296,0.70195,0.0430954,9.73288,0.0377922,-0.00381927,-0.0409462
297,0.70195,0.0430954,9.73288,0.0377922,-0.00381927,-0.134322
298,0.807295,0.0430954,9.73288,0.0377922,-0.00381927,-0.134322
299,0.807295,0.0454903,9.73288,0.0377922,-0.00381927,-0.134322
300,0.807295,0.0454903,9.84541,0.0377922,-0.00381927,-0.134322
301,0.807295,0.0454903,9.84541,0.134418,-0.00381927,-0.134322
302,0.807295,0.0454903,9.84541,0.134418,0.0108376,-0.134322
303,0.807295,0.0454903,9.84541,0.134418,0.0108376,-0.0207893
304,0.709132,0.0454903,9.84541,0.134418,0.0108376,-0.0207893
305,0.709132,0.0407021,9.84541,0.134418,0.0108376,-0.0207893
306,0.709132,0.0407021,10.0539,0.134418,0.0108376,-0.0207893
307,0.709132,0.0407021,10.0539,0.0777245,0.0108376,-0.0207893
308,0.709132,0.0407021,10.0539,0.0777245,-0.000351715,-0.0207893
309,0.709132,0.0407021,10.0539,0.0777245,-0.000351715,0.179262
310,0.709132,0.0407021,10.0539,0.0777245,-0.000351715,0.179262
311,0.709132,0.0407021,10.0539,0.0777245,-0.000351715,0.179262
312,0.709132,0.0407021,10.0539,0.0777245,-0.000351715,0.179262
313,0.709132,0.0407021,10.0539,0.0236046,-0.000351715,0.179262
314,0.709132,0.0407021,10.0539,0.0236046,0.0210587,0.179262
315,0.709132,0.0407021,10.0539,0.0236046,0.0210587,0.175952
316,0.778564,0.0407021,10.0539,0.0236046,0.0210587,0.175952
317,0.778564,-0.0694321,10.0539,0.0236046,0.0210587,0.175952
318,0.778564,-0.0694321,10.0227,0.0236046,0.0210587,0.175952
319,0.778564,-0.0694321,10.0227,0.0855637,0.0210587,0.175952
320,0.778564,-0.0694321,10.0227,0.0855637,-0.0843468,0.175952
321,0.778564,-0.0694321,10.0227,0.0855637,-0.0843468,0.140288
322,0.850391,-0.0694321,10.0227,0.0855637,-0.0843468,0.140288
323,0.850391,-0.11971,10.0227,0.0855637,-0.0843468,0.140288
324,0.850391,-0.11971,9.96033,0.0855637,-0.0843468,0.140288
325,0.850391,-0.11971,9.96033,0.151443,-0.0843468,0.140288
326,0.850391,-0.11971,9.96033,0.151443,-0.132714,0.140288
327,0.850391,-0.11971,9.96033,0.151443,-0.132714,0.0754608
328,0.82166,-0.11971,9.96033,0.151443,-0.132714,0.0754608
329,0.82166,-0.033519,9.96033,0.151443,-0.132714,0.0754608
330,0.82166,-0.033519,9.87892,0.151443,-0.132714,0.0754608
331,0.82166,-0.033519,9.87892,0.139809,-0.132714,0.0754608
332,0.82166,-0.033519,9.87892,0.139809,-0.170015,0.0754608
333,0.82166,-0.033519,9.87892,0.139809,-0.170015,0.107825
334,0.82166,-0.033519,9.87892,0.139809,-0.170015,0.107825
335,0.82166,-0.033519,9.87892,0.139809,-0.170015,0.107825
336,0.82166,-0.033519,9.87892,0.139809,-0.170015,0.107825
337,0.82166,-0.033519,9.87892,0.104739,-0.170015,0.107825
338,0.82166,-0.033519,9.87892,0.104739,-0.0480911,0.107825
339,0.82166,-0.033519,9.87892,0.104739,-0.0480911,-0.00870819
340,0.653916,-0.033519,9.87892,0.104739,-0.0480911,-0.00870819
341,0.653916,0.0239418,9.87892,0.104739,-0.0480911,-0.00870819
342,0.653916,0.0239418,9.81668,0.104739,-0.0480911,-0.00870819
343,0.653916,0.0239418,9.81668,-0.0664642,-0.0480911,-0.00870819
344,0.653916,0.0239418,9.81668,-0.0664642,0.0056366,-0.00870819
345,0.653916,0.0239418,9.81668,-0.0664642,0.0056366,-0.0682098
346,0.670676,0.0239418,9.81668,-0.0664642,0.0056366,-0.0682098
347,0.670676,0.062249,9.81668,-0.0664642,0.0056366,-0.0682098
348,0.670676,0.062249,9.85977,-0.0664642,0.0056366,-0.0682098
349,0.670676,0.062249,9.85977,-0.209087,0.0056366,-0.0682098
350,0.670676,0.062249,9.85977,-0.209087,0.0983002,-0.0682098
351,0.670676,0.062249,9.85977,-0.209087,0.0983002,-0.0610397
352,0.670676,0.062249,9.85977,-0.209087,0.0983002,-0.0610397
353,0.670676,0.062249,9.85977,-0.209087,0.0983002,-0.0610397
354,0.670676,0.062249,9.85977,-0.209087,0.0983002,-0.0610397
355,0.670676,0.062249,9.85977,-0.0484512,0.0983002,-0.0610397
356,0.670676,0.062249,9.85977,-0.0484512,0.0368279,-0.0610397
357,0.670676,0.062249,9.85977,-0.0484512,0.0368279,-0.0216782
358,0.824055,0.062249,9.85977,-0.0484512,0.0368279,-0.0216782
359,0.824055,0.00957642,9.85977,-0.0484512,0.0368279,-0.0216782
360,0.824055,0.00957642,9.90287,-0.0484512,0.0368279,-0.0216782
361,0.824055,0.00957642,9.90287,0.100226,0.0368279,-0.0216782
362,0.824055,0.00957642,9.90287,0.100226,-0.0176758,-0.0216782
363,0.824055,0.00957642,9.90287,0.100226,-0.0176758,0.0208145
364,0.651521,0.00957642,9.90287,0.100226,-0.0176758,0.0208145
365,0.651521,0.0861908,9.90287,0.100226,-0.0176758,0.0208145
366,0.651521,0.0861908,9.86696,0.100226,-0.0176758,0.0208145
367,0.651521,0.0861908,9.86696,-0.0711731,-0.0176758,0.0208145
368,0.651521,0.0861908,9.86696,-0.0711731,0.052372,0.0208145
369,0.651521,0.0861908,9.86696,-0.0711731,0.052372,-0.0145027
370,0.531812,0.0861908,9.86696,-0.0711731,0.052372,-0.0145027
371,0.531812,0.11971,9.86696,-0.0711731,0.052372,-0.0145027
372,0.531812,0.11971,9.78795,-0.0711731,0.052372,-0.0145027
373,0.531812,0.11971,9.78795,-0.18715,0.052372,-0.0145027
374,0.531812,0.11971,9.78795,-0.18715,0.0797516,-0.0145027
375,0.531812,0.11971,9.78795,-0.18715,0.0797516,-0.0902336
376,0.67307,0.11971,9.78795,-0.18715,0.0797516,-0.0902336
377,0.67307,0.0383072,9.78795,-0.18715,0.0797516,-0.0902336
378,0.67307,0.0383072,9.74006,-0.18715,0.0797516,-0.0902336
379,0.67307,0.0383072,9.74006,-0.044632,0.0797516,-0.0902336
380,0.67307,0.0383072,9.74006,-0.044632,-0.00196762,-0.0902336
381,0.67307,0.0383072,9.74006,-0.044632,-0.00196762,-0.133513
382,0.843208,0.0383072,9.74006,-0.044632,-0.00196762,-0.133513
383,0.843208,-0.00957642,9.74006,-0.044632,-0.00196762,-0.133513
384,0.843208,-0.00957642,9.90766,-0.044632,-0.00196762,-0.133513
385,0.843208,-0.00957642,9.90766,0.120316,-0.00196762,-0.133513
386,0.843208,-0.00957642,9.90766,0.120316,-0.0461746,-0.133513
387,0.843208,-0.00957642,9.90766,0.120316,-0.0461746,0.0330925
388,0.859967,-0.00957642,9.90766,0.120316,-0.0461746,0.0330925
389,0.859967,-0.00957642,9.90766,0.120316,-0.0461746,0.0330925
390,0.859967,-0.00957642,9.90287,0.120316,-0.0461746,0.0330925
